,gender,current_country,cc_status,education_level,age_groups,smoking_status,level of drinking_status,level of bmi,countries_visited,continent_of_birth,hash,postcode_split
0,F,United Kingdom,0,phD,30-40,heavy smokers,moderate,healthy,35-50,Asia,af5df02013306c6ec560837638bf5a768bedc337,LS5
1,M,United Kingdom,0,primary,20-30,intermediate smokers,low,healthy,35-50,Oceania,901e9a0941070feccd8f4dfedefe1b67f8467231,M0U
2,F,United Kingdom,0,bachelor,30-40,intermediate smokers,high,overweight,2-18,South America,2595d372c99b01cb00335887ab4ae4c50ce95858,SO1
3,F,United Kingdom,0,primary,20-30,heavy smokers,moderate,overweight,19-34,Africa,cf0bdf36447e6a5056df19f02f7c2b7ca0856d6a,B18
4,F,United Kingdom,0,secondary,50-60,heavy smokers,moderate,overweight,19-34,South America,9143a20a845d48a431e01a92bca066dfb2501778,TQ2
5,F,United Kingdom,0,other,50-60,heavy smokers,moderate,underweight,2-18,South America,209531293155833bebbbb42b6aa509ec77b4c345,CM7H
6,M,United Kingdom,0,secondary,40-50,intermediate smokers,low,overweight,19-34,Oceania,0555f02357bd3c85d498cffe8f51b24742d10f16,L02
7,M,United Kingdom,0,other,30-40,intermediate smokers,high,underweight,19-34,North America,2a332c8460ed1c7c23eaf5333059815d4bf4e04c,CR3
8,F,United Kingdom,0,secondary,20-30,intermediate smokers,low,overweight,2-18,Oceania,13e8808f0b69779dcd4d80b134ecfb000c4c7b0d,WR96
9,M,United Kingdom,0,bachelor,20-30,intermediate smokers,moderate,overweight,35-50,North America,c79dae72a2a00d391ff767b599e409df5ef7798c,KT5A
10,M,United Kingdom,0,primary,50-60,heavy smokers,low,underweight,35-50,Oceania,602dbd7cb127ee31d59505eb09b644890e1bfab5,G4
11,M,United Kingdom,0,bachelor,20-30,heavy smokers,low,underweight,19-34,South America,fca015a3dbfd7827f22220fe30e2bad4fe478164,HR5
12,M,United Kingdom,1,secondary,30-40,heavy smokers,low,underweight,35-50,North America,4d3e26b2406c2cdd31f5c806a5d3f364d09a4549,KT1
13,F,United Kingdom,0,secondary,60-70,heavy smokers,high,healthy,19-34,Africa,950a24a23c65217f7a046bf6df906c4974641f4f,E6
14,M,United Kingdom,0,secondary,30-40,intermediate smokers,moderate,overweight,19-34,Asia,5abcfc532f6ddd600743e4ee10257cd47cf8b959,EN30
15,F,United Kingdom,0,secondary,40-50,heavy smokers,high,healthy,35-50,Asia,bb763cf8a7f429e3b3f5ca0e83dea5c8425aeed2,L0F
16,F,United Kingdom,0,phD,40-50,intermediate smokers,,underweight,2-18,Oceania,75b80a30356007d81253fdebc64ee2f098f7d27a,LE5V
17,F,United Kingdom,0,bachelor,60-70,light smokers,moderate,overweight,19-34,Asia,222dfddd4c3bb8aad768b1455e2a49f07932dcc4,M5B
18,F,United Kingdom,0,secondary,20-30,heavy smokers,low,overweight,19-34,North America,c6fb398361ad44ac6d1e6f504a8e8ac91db90ddd,W6
19,M,United Kingdom,0,bachelor,30-40,heavy smokers,low,underweight,2-18,Oceania,ff902b0eaa6511fe8b37db6597458c61bb71723c,TN2
20,M,United Kingdom,0,bachelor,20-30,heavy smokers,moderate,overweight,35-50,Asia,cf2e0983f2d906b74a6dc239536d91fc92288167,NG6V
21,M,United Kingdom,0,secondary,40-50,heavy smokers,high,healthy,2-18,Africa,c38fd67af1ef1458c2f3ccdda4e7bad143595702,N0
22,M,United Kingdom,0,secondary,50-60,light smokers,low,underweight,35-50,Asia,5faada24bff98899b2c773d0c27dde332968d0b4,B35
23,M,United Kingdom,0,primary,50-60,intermediate smokers,moderate,healthy,35-50,Asia,4c82eb7c44cd2612d25fdae8dd95985af798d1ef,BH2W
24,M,United Kingdom,0,masters,60-70,intermediate smokers,high,healthy,2-18,North America,72e4abe5de7956d2c354bfad15e3fcbfa2f03616,DL54
25,F,United Kingdom,0,secondary,30-40,intermediate smokers,low,underweight,2-18,Oceania,f07d60633911288cf89d1d08a62a86c0f8c207df,AB7
26,M,United Kingdom,0,secondary,20-30,heavy smokers,moderate,healthy,19-34,Asia,e95113e7845c39c4dccf0ed0ccc2ec0a1f6a7c02,S7B
27,M,United Kingdom,0,secondary,50-60,heavy smokers,low,healthy,35-50,Europe,8c7c422dbcaa736eb3a2fadebea819addb50b42e,RH86
28,F,United Kingdom,0,secondary,30-40,heavy smokers,moderate,overweight,2-18,North America,a7abc016102e3601a47477904f93017d81de2390,GU27
29,M,United Kingdom,0,secondary,20-30,heavy smokers,low,overweight,19-34,Africa,086ea23a138ad28f3c97d461e72d4f0ef4c40059,DG1
30,F,United Kingdom,0,masters,30-40,heavy smokers,high,underweight,19-34,Europe,16901d053d66bc8fa6cf5dc480fc801c237f5b0f,B60
31,F,United Kingdom,0,other,20-30,intermediate smokers,low,overweight,19-34,Africa,0b2e9fd246f59f605edb1108909b32c9aafbb2eb,LU47
32,M,United Kingdom,0,secondary,40-50,heavy smokers,low,overweight,2-18,Europe,ec1e60ddf35ab688aeb4c3c46369b826446971e5,NN7
33,F,United Kingdom,1,secondary,40-50,intermediate smokers,low,overweight,2-18,North America,93afbab3b96fa0fcb9b5df89e2d41de7f6de6a42,ME70
34,M,United Kingdom,0,secondary,40-50,light smokers,low,overweight,19-34,Europe,249e42543c30d5bc04db80f5a81be00b29649827,KY1
35,M,United Kingdom,0,secondary,30-40,intermediate smokers,low,healthy,2-18,Africa,f3e9e41726b60c47dde02f022e7e087ab91f5aaa,S0B
36,M,United Kingdom,0,masters,60-70,intermediate smokers,low,healthy,2-18,North America,b7f0aab90c1321dec6a4942ef6064f561f10bcea,BB2P
37,F,United Kingdom,0,secondary,60-70,intermediate smokers,moderate,overweight,2-18,Africa,3f6c806ccccff0a5df6807237f22e6f2b4215996,AL3
38,M,United Kingdom,0,other,30-40,heavy smokers,low,overweight,19-34,South America,8d730c44b5be190b209fbef96de60f995141cee6,CW4A
39,M,United Kingdom,0,secondary,30-40,intermediate smokers,low,healthy,35-50,Africa,b2e4cef8bcc0672f543cb5ec01c82285508df7b5,HA2
40,M,United Kingdom,0,secondary,30-40,heavy smokers,moderate,overweight,35-50,Asia,533fb91be3031e0da3cf3bd26d0207099d0d85ff,G30
41,F,United Kingdom,0,masters,40-50,intermediate smokers,low,underweight,35-50,South America,95a24b2b0504c213269fd3c7f8a093a43b018784,CW6
42,M,United Kingdom,0,other,30-40,heavy smokers,moderate,overweight,35-50,Europe,cf5ec53c60e04afbb150d7f2dce89ed8ba7da588,SL9Y
43,M,United Kingdom,0,primary,60-70,heavy smokers,low,overweight,35-50,Europe,b878d946f98af5b5ad02588a4b85552507b5bb1b,GY5R
44,M,United Kingdom,0,other,50-60,intermediate smokers,high,underweight,35-50,Europe,5152ab55634d4a305aefca93839ee5e5f4d2a245,S6
45,M,United Kingdom,0,secondary,20-30,heavy smokers,low,underweight,2-18,Europe,4776c56a66668ad0f3e3646948ee15937641463a,RH93
46,M,United Kingdom,0,other,30-40,heavy smokers,moderate,healthy,19-34,Oceania,330b6cd588f6799ec4a823d3490987e8454b6a1a,BR66
47,M,United Kingdom,0,secondary,20-30,intermediate smokers,high,underweight,19-34,Asia,7286cd5ebd383fa44f0bc291a7a6ae49f0ca71ea,LN82
48,M,United Kingdom,0,secondary,20-30,heavy smokers,low,overweight,19-34,Africa,72799d66ab551e8a74b3b792994114b1eb6e950f,G27
49,F,United Kingdom,0,other,30-40,heavy smokers,high,underweight,35-50,North America,62f33c6ec2485cbe383dabb87b200ea6358e1ffc,G8
50,M,United Kingdom,1,secondary,40-50,heavy smokers,low,healthy,35-50,Asia,feab9c6680d64a53965e2b4ca1655ffffe729725,OL7
51,F,United Kingdom,0,secondary,30-40,intermediate smokers,low,healthy,2-18,North America,b93d831f00f9752fb6e64e87a187c35a5797c99b,S0
52,F,United Kingdom,0,masters,60-70,heavy smokers,high,underweight,35-50,Asia,f803dbe8552a69186b53346341e8661e3b345d2c,TQ87
53,F,United Kingdom,1,secondary,40-50,heavy smokers,low,overweight,19-34,North America,0c0274e343dca11e838399b7493973703161f330,L95
54,M,United Kingdom,0,secondary,60-70,heavy smokers,moderate,overweight,19-34,Africa,ca6768a99ff16be28edd63cb758aaf929179bd9d,B05
55,M,United Kingdom,0,secondary,60-70,heavy smokers,low,overweight,35-50,Europe,d90469430dfcb01fe00b25b663462fd3fbb2d5dc,YO63
56,M,United Kingdom,0,secondary,20-30,intermediate smokers,moderate,overweight,35-50,Europe,7d65499dd3c6b946238fa4a65fdd290e4c129dcc,S06
57,F,United Kingdom,0,secondary,30-40,heavy smokers,moderate,overweight,2-18,Oceania,d6b387fd27ab656eed8b1df365e0f5ec46e81e3e,N46
58,M,United Kingdom,0,secondary,60-70,intermediate smokers,high,underweight,2-18,Europe,cbc8e4de073cbd979d95124b9e626f228dbbf02b,NR2E
59,M,United Kingdom,0,bachelor,40-50,heavy smokers,moderate,healthy,35-50,Oceania,4b6229942d64ef9e6a2ebdea426e12afaf46b7cf,EC6
60,M,United Kingdom,0,masters,<20,heavy smokers,low,healthy,19-34,North America,36ff57e2709b9097fc5dedfcca5b2d54d89e2971,B1
61,M,United Kingdom,0,secondary,30-40,intermediate smokers,moderate,underweight,19-34,Europe,01cb2914de98be57a4ef8602fb83b7c6497f9929,BA9
62,F,United Kingdom,0,other,30-40,heavy smokers,high,overweight,19-34,North America,22e2febc4e66dcb809f1a90d63e53929b22faa0b,L85
63,F,United Kingdom,0,other,50-60,heavy smokers,low,overweight,2-18,Africa,ff748ee7f7aadda47a448b3874874220b8885334,L0A
64,M,United Kingdom,0,secondary,40-50,heavy smokers,moderate,underweight,35-50,Asia,224d35419379988ba263e4085477971d634dfa92,OX6
65,M,United Kingdom,0,bachelor,40-50,heavy smokers,high,healthy,19-34,Oceania,9ddcd07b16f7aee48c7c05d639d88cf8d9f0f9a1,TD41
66,M,United Kingdom,1,secondary,30-40,intermediate smokers,high,healthy,35-50,Asia,bfd03f90e456273befbfafc4ac4f02dc767efac3,B1H
67,M,United Kingdom,0,secondary,60-70,heavy smokers,moderate,overweight,2-18,Asia,68165916d4e9711f594244170714f7e9d6453d79,L1T
68,F,United Kingdom,0,other,40-50,heavy smokers,moderate,underweight,19-34,Antarctica,59a9124178ec361f268fcd8418086d6dd9282f5e,LE2W
69,F,United Kingdom,0,secondary,30-40,heavy smokers,high,healthy,2-18,North America,49674f5ba0ffab0c69cde60bdec0610fc72a6c3f,NR52
70,M,United Kingdom,0,secondary,40-50,intermediate smokers,high,healthy,19-34,North America,131ae13a3624574cf69c460be35663794e9ff854,GL57
71,F,United Kingdom,0,bachelor,30-40,intermediate smokers,low,healthy,19-34,Oceania,eaa31dbbbf230162b8197bb6662c1f8edc4d6fe9,S29
72,F,United Kingdom,0,secondary,20-30,heavy smokers,low,healthy,19-34,Europe,5db00742d78f0f54dec8cc618139d93ebef4e8ce,RH4X
73,M,United Kingdom,0,secondary,50-60,intermediate smokers,low,overweight,19-34,Africa,6f337604ee645b86b0535c65168a7d67c87083b0,E69
74,F,United Kingdom,0,secondary,40-50,heavy smokers,moderate,overweight,35-50,Asia,6ed738e06c8db64c3b8d62875ce6fa6caaa93524,N2
75,F,United Kingdom,0,primary,30-40,intermediate smokers,moderate,overweight,35-50,Asia,e0a6435db384bad2407a56bfaacb214b6aeae3a3,SS01
76,M,United Kingdom,0,primary,40-50,heavy smokers,low,overweight,19-34,Africa,e1de0a811721b50376a508934840e717159fe3b5,M5
77,M,United Kingdom,0,secondary,50-60,heavy smokers,moderate,overweight,2-18,Asia,cc57ea9a45869377fdffaa9d170015726268bdc4,W5C
78,M,United Kingdom,0,phD,50-60,light smokers,low,healthy,2-18,Africa,029767b13cb753f1cb5368e9f5b0a0c413c3edcb,N7B
79,F,United Kingdom,0,secondary,20-30,heavy smokers,moderate,overweight,35-50,Europe,0809d10e7dff7c0aab52b813e861f87697d38da0,EH8E
